workload,codec,type,config,tag,cpi,ipc,sim_seconds,No_OpClass,IntAlu,IntMult,IntDiv,FloatAdd,FloatCmp,FloatCvt,FloatMult,FloatDiv,FloatMisc,FloatSqrt,SimdAdd,SimdAlu,SimdCmp,SimdMisc,SimdMult,SimdMultAcc,SimdSqrt,SimdFloatAdd,SimdFloatAlu,SimdFloatCmp,SimdFloatCvt,SimdFloatDiv,SimdFloatMisc,SimdFloatMult,SimdFloatMultAcc,SimdFloatSqrt,MemRead,MemWrite,l1d_miss_rate,l1i_miss_rate,l2_miss_rate,No_OpClass_pct,IntAlu_pct,IntMult_pct,IntDiv_pct,FloatAdd_pct,FloatCmp_pct,FloatCvt_pct,FloatMult_pct,FloatDiv_pct,FloatMisc_pct,FloatSqrt_pct,SimdAdd_pct,SimdAlu_pct,SimdCmp_pct,SimdMisc_pct,MemRead_pct,MemWrite_pct,Integer_total_pct,Float_total_pct,Simd_total_pct,Memory_total_pct,FP_SIMD_combined_pct,total_operations,
jpeg2k_enc,jpeg2k,enc,small,jpeg2k_enc_small,8.784232,0.113840345,4.80E-05,0,12091,7,5,0,0,3,1,0,1,0,49,54,55,41,0,0,0,0,0,0,0,0,0,0,0,0,2676,2641,0.26232,0.108954,,0,68.60531094,0.039718566,0.028370404,0,0,0.017022242,0.005674081,0,0.005674081,0,0.278029959,0.306400363,0.312074444,0.232637313,15.18384022,14.98524739,68.67339991,0.028370404,1.129142079,30.16908761,1.157512483,17624,
mp3_dec,mp3,dec,large,mp3_dec_large,0.922015,1.084581053,0.000501,0,653883,8231,6,3901,50209,25123,43179,8319,126475,8,101,315,160,8437,0,0,0,0,0,0,0,0,0,0,0,0,152566,104104,0.025267,0.003751,,0,55.1792084,0.694589192,0.000506322,0.32919359,4.23698563,2.120053974,3.643745195,0.702015245,10.67284267,0.000675096,0.008523084,0.026581897,0.013501916,0.711972908,12.87458323,8.785021649,55.87430391,21.7055114,0.760579806,21.65960488,22.4660912,1185017,
mp3_dec,mp3,dec,medium,mp3_dec_medium,0.920092,1.086847837,0.0005,0,653906,8231,6,3899,50209,25123,43179,8319,126475,8,101,315,156,8438,0,0,0,0,0,0,0,0,0,0,0,0,152514,104101,0.025588,0.003821,,0,55.18287228,0.69461088,0.000506338,0.329035089,4.237117926,2.120120171,3.643858968,0.702037165,10.67317592,0.000675117,0.008523351,0.026582727,0.013164779,0.712079529,12.87059697,8.785042786,55.8779895,21.70602035,0.760350386,21.65563976,22.46637074,1184980,
mp3_dec,mp3,dec,small,mp3_dec_small,0.99383,1.006208305,0.00054,0,653445,8231,7,3889,50203,25120,43176,8314,126452,8,101,306,156,8435,0,0,0,0,0,0,0,0,0,0,0,0,151959,104049,0.02529,0.003985,,0,55.19655767,0.695273307,0.000591291,0.328504178,4.240651906,2.12188865,3.647080587,0.702284325,10.68141177,0.000675761,0.008531479,0.025847847,0.013177334,0.712505205,12.83599034,8.789028349,55.89242227,21.72249717,0.760061866,21.62501869,22.48255904,1183851,
mp3_enc,mp3,enc,large,mp3_enc_large,1.984674,0.503861088,0.00013,0,107767,16,3,0,0,0,0,0,10,0,34,52,48,53,0,0,0,0,0,0,0,0,0,0,0,0,9240,33004,0.783804,0.058671,,0,71.73610603,0.010650549,0.001996978,0,0,0,0,0,0.006656593,0,0.022632416,0.034614284,0.031951647,0.035279943,6.150691953,21.96941961,71.74875355,0.006656593,0.12447829,28.12011156,0.131134883,150227,
mp3_enc,mp3,enc,medium,mp3_enc_medium,1.987553,0.503131237,0.00013,0,107762,16,3,0,0,0,0,0,10,0,34,52,48,53,0,0,0,0,0,0,0,0,0,0,0,0,9296,33005,0.786163,0.058873,,0,71.70795653,0.010646864,0.001996287,0,0,0,0,0,0.00665429,0,0.022624585,0.034602306,0.031940591,0.035267735,6.185827694,21.96248311,71.72059968,0.00665429,0.124435217,28.14831081,0.131089507,150279,
mp3_enc,mp3,enc,small,mp3_enc_small,1.996446,0.500890082,0.000131,0,107361,16,3,0,0,0,0,0,10,0,34,52,48,53,0,0,0,0,0,0,0,0,0,0,0,0,9126,32911,0.788363,0.059997,,0,71.75865895,0.010694186,0.00200516,0,0,0,0,0,0.006683866,0,0.022725146,0.034756106,0.032082559,0.035424492,6.099696552,21.99727298,71.7713583,0.006683866,0.124988303,28.09696953,0.13167217,149614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
